total_visits,time_per_visit,lead_origin,lead_source,do_not_email,do_not_call,converted,country,specialization,how_did_you_hear_about_x_education,what_is_your_current_occupation,what_matters_most_to_you_in_choosing_a_course,tags,city,a_free_copy_of_mastering_the_interview,no_contact_allowed,lead_source_channel,is_from_india,total_visits_binned,total_time_spent_on_website_binned,page_views_per_visit_binned
3.0,351.3333333333333,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Operations Management,,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Other Cities,1,0,Other_Source,0,Medium_Visits,High_Engagement,Low_Page_Views
2.0,99.5,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
6.0,235.16666666666666,API,Google,0,0,1,India,"Banking, Investment And Insurance",Other,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Low_Page_Views
2.0,120.0,Landing Page Submission,Google,0,0,1,India,Finance Management,Online Search,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,0,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Closed by Horizzon,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
3.0,114.0,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
5.0,88.4,Landing Page Submission,Google,0,0,0,India,Operations Management,SMS,Not_Specified,Not_Specified,,Thane & Outskirts,0,0,Other_Source,1,High_Visits,High_Engagement,Low_Page_Views
2.0,152.5,Landing Page Submission,Organic Search,0,0,0,India,Supply Chain Management,,Unemployed,Better Career Prospects,Interested in other courses,Other Metro Cities,1,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,632.0,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
2.0,29.5,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
9.0,54.55555555555556,Landing Page Submission,Google,0,0,0,India,IT Projects Management,Advertisements,Unemployed,Better Career Prospects,Ringing,Other Cities,1,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
9.5,135.78947368421052,Landing Page Submission,Google,0,0,1,India,IT Projects Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Medium_Page_Views
4.0,25.5,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Human Resource Management,,Not_Specified,Not_Specified,,Other Cities of Maharashtra,1,0,Other_Source,0,High_Visits,Low_Engagement,Low_Page_Views
2.0,35.5,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
2.0,13.0,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
2.0,389.5,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
5.0,3.2,Landing Page Submission,Direct Traffic,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Busy,Unknown_City,0,0,Other_Source,1,High_Visits,Low_Engagement,Very_High_Page_Views
2.0,105.0,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Already a student,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
3.0,69.33333333333333,Landing Page Submission,Google,0,0,0,India,IT Projects Management,Online Search,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
9.5,103.05263157894737,Lead Add Form,Other,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Closed by Horizzon,Mumbai,1,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
2.0,98.0,API,Direct Traffic,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,23.5,Landing Page Submission,Direct Traffic,0,0,0,India,Not_Specified,,Working Professional,Better Career Prospects,Already a student,Mumbai,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
5.0,248.0,API,Direct Traffic,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Medium_Page_Views
7.0,153.14285714285714,Landing Page Submission,Other,0,0,0,India,Not_Specified,SMS,Not_Specified,Not_Specified,,Other Cities,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
9.5,103.6842105263158,Landing Page Submission,Direct Traffic,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,1,0,Other_Source,1,Very_High_Visits,High_Engagement,Low_Page_Views
2.0,79.0,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
3.0,454.0,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Medium_Visits,Very_High_Engagement,High_Page_Views
0.0,0.0,Lead Add Form,Other,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
2.0,746.0,Landing Page Submission,Direct Traffic,0,0,0,India,Travel and Tourism,,Unemployed,Better Career Prospects,Interested in other courses,Other Cities,1,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
3.0,515.0,Landing Page Submission,Google,0,0,1,India,Other_Specialization,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Medium_Visits,Very_High_Engagement,High_Page_Views
3.0,272.6666666666667,API,Google,0,0,1,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,,Mumbai,0,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
2.0,296.5,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Not_Specified,Not_Specified,,Tier II Cities,1,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
4.0,411.5,Landing Page Submission,Google,0,0,0,India,Finance Management,Online Search,Unemployed,Better Career Prospects,switched off,Thane & Outskirts,0,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
2.0,201.0,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
4.0,338.0,Landing Page Submission,Direct Traffic,0,0,0,India,Finance Management,,Unemployed,Better Career Prospects,Already a student,Mumbai,1,0,Other_Source,1,High_Visits,Very_High_Engagement,Low_Page_Views
5.0,343.0,Landing Page Submission,Google,0,0,1,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Low_Page_Views
5.0,1.4,Landing Page Submission,Google,0,0,0,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0,0,Other_Source,1,High_Visits,Low_Engagement,Medium_Page_Views
4.0,363.0,Landing Page Submission,Google,0,0,1,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
4.0,240.75,Landing Page Submission,Google,0,0,1,India,Operations Management,Multiple Sources,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,High_Page_Views
4.0,18.75,Landing Page Submission,Google,0,0,0,India,Finance Management,Online Search,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
6.0,144.33333333333334,Landing Page Submission,Google,0,0,1,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Low_Page_Views
9.5,149.89473684210526,Landing Page Submission,Google,0,0,1,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
5.0,6.2,Landing Page Submission,Google,0,0,0,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,High_Visits,Low_Engagement,Medium_Page_Views
7.0,74.28571428571429,Landing Page Submission,Google,0,0,1,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
3.0,47.0,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
9.5,27.36842105263158,Landing Page Submission,Direct Traffic,0,0,0,India,"Banking, Investment And Insurance",,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,1,Very_High_Visits,Medium_Engagement,Very_High_Page_Views
7.0,8.571428571428571,Landing Page Submission,Organic Search,0,0,1,India,Other_Specialization,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Metro Cities,1,0,Other_Source,1,Very_High_Visits,Low_Engagement,Very_High_Page_Views
9.0,39.0,Landing Page Submission,Google,0,0,0,India,Media and Advertising,Word Of Mouth,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Very_High_Visits,Medium_Engagement,Very_High_Page_Views
1.0,1286.0,API,Olark Chat,0,0,0,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,Interested in other courses,Thane & Outskirts,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
0.0,0.0,API,Olark Chat,0,0,1,Unknown_Country,Other_Specialization,,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
5.0,68.0,Landing Page Submission,Google,0,0,0,India,Human Resource Management,Social Media,Unemployed,Better Career Prospects,Ringing,Other Cities of Maharashtra,0,0,Other_Source,1,High_Visits,Medium_Engagement,Medium_Page_Views
2.0,170.5,Landing Page Submission,Direct Traffic,0,0,0,India,Business Administration,,Unemployed,Better Career Prospects,,Other Metro Cities,1,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
4.0,216.5,Landing Page Submission,Google,0,0,1,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,High_Page_Views
9.5,9.157894736842104,API,Organic Search,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,High_Page_Views
2.0,167.0,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
8.0,190.5,Landing Page Submission,Google,0,0,1,India,Human Resource Management,Other,Student,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
5.0,24.2,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Business Administration,,Unemployed,Better Career Prospects,Ringing,Mumbai,1,0,Other_Source,0,High_Visits,Low_Engagement,Very_High_Page_Views
9.5,92.0,Landing Page Submission,Google,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Lost to EINS,Mumbai,1,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
6.0,10.5,Landing Page Submission,Google,0,0,0,India,Human Resource Management,Word Of Mouth,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,Very_High_Page_Views
2.0,578.5,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Unemployed,Better Career Prospects,,Mumbai,1,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
3.0,63.333333333333336,Landing Page Submission,Direct Traffic,0,0,0,India,Operations Management,,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,1,Medium_Visits,Medium_Engagement,Low_Page_Views
4.0,196.5,Landing Page Submission,Google,0,0,1,India,Finance Management,Student of SomeSchool,Student,Better Career Prospects,Closed by Horizzon,Other Metro Cities,0,0,Other_Source,1,High_Visits,High_Engagement,High_Page_Views
3.0,455.6666666666667,Landing Page Submission,Organic Search,0,0,0,India,Travel and Tourism,,Unemployed,Better Career Prospects,switched off,Other Cities,1,0,Other_Source,1,Medium_Visits,Very_High_Engagement,High_Page_Views
2.0,180.0,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Working Professional,Better Career Prospects,Diploma holder (Not Eligible),Other Cities of Maharashtra,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
6.0,19.333333333333332,Landing Page Submission,Google,0,0,1,India,Operations Management,SMS,Working Professional,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,High_Page_Views
2.0,115.5,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
5.0,52.2,Landing Page Submission,Google,0,0,0,India,Not_Specified,Other,Unemployed,Better Career Prospects,Not doing further education,Other Cities,0,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
5.0,56.2,Landing Page Submission,Direct Traffic,0,0,0,India,Healthcare Management,Online Search,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
2.0,151.0,Landing Page Submission,Google,0,0,0,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,Not doing further education,Mumbai,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
4.0,92.25,Landing Page Submission,Google,0,0,0,India,Human Resource Management,,Unemployed,Better Career Prospects,Ringing,Mumbai,1,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
2.0,484.5,Landing Page Submission,Organic Search,0,0,1,India,Marketing Management,SMS,Unemployed,Better Career Prospects,Ringing,Other Metro Cities,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
3.0,29.0,Landing Page Submission,Direct Traffic,0,0,0,India,Supply Chain Management,,Working Professional,Better Career Prospects,Interested in other courses,Thane & Outskirts,1,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
5.0,8.2,Landing Page Submission,Google,0,0,0,India,Media and Advertising,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,High_Visits,Low_Engagement,Very_High_Page_Views
5.0,13.2,Landing Page Submission,Google,0,0,0,India,Media and Advertising,,Unemployed,Better Career Prospects,Ringing,Mumbai,1,0,Other_Source,1,High_Visits,Low_Engagement,Medium_Page_Views
9.5,195.57894736842104,Landing Page Submission,Google,0,0,1,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,,Thane & Outskirts,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Medium_Page_Views
2.0,521.0,API,Google,0,0,1,India,Not_Specified,,Working Professional,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
6.0,12.666666666666666,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Low_Engagement,Low_Page_Views
3.0,228.66666666666666,Landing Page Submission,Direct Traffic,0,0,1,India,Other_Specialization,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,1,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
3.0,1.6666666666666667,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
2.0,580.0,API,Google,0,0,1,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
3.0,399.3333333333333,Landing Page Submission,Google,0,0,0,India,Finance Management,SMS,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,Medium_Visits,Very_High_Engagement,High_Page_Views
4.0,318.75,Landing Page Submission,Google,0,0,0,India,Human Resource Management,Other,Not_Specified,Not_Specified,,Thane & Outskirts,0,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
2.0,462.0,Landing Page Submission,Direct Traffic,0,0,0,India,Human Resource Management,Word Of Mouth,Not_Specified,Not_Specified,,Other Cities of Maharashtra,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
2.0,72.0,API,Google,0,0,0,India,Not_Specified,,Working Professional,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
7.0,78.28571428571429,Landing Page Submission,Google,0,0,0,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Interested  in full time MBA,Thane & Outskirts,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
5.0,76.8,Landing Page Submission,Google,0,0,0,India,International Business,Other,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,Low_Page_Views
1.0,197.0,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,0,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,91.5,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,217.5,Landing Page Submission,Google,0,0,0,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,Already a student,Mumbai,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
2.0,154.5,Landing Page Submission,Direct Traffic,0,0,0,India,Media and Advertising,,Not_Specified,Not_Specified,,Thane & Outskirts,1,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Finance Management,,Student,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
2.0,54.5,Landing Page Submission,Google,0,0,0,India,Not_Specified,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Other Cities,0,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
0.0,0.0,API,Olark Chat,0,0,0,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
2.0,540.0,API,Google,0,0,1,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
3.0,20.666666666666668,Landing Page Submission,Organic Search,0,0,0,India,Operations Management,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
4.0,46.75,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,High_Visits,Medium_Engagement,Low_Page_Views
4.0,39.25,Landing Page Submission,Direct Traffic,0,0,0,India,Finance Management,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
6.0,66.0,Landing Page Submission,Google,0,0,0,India,"Banking, Investment And Insurance",Multiple Sources,Not_Specified,Not_Specified,,Other Cities,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
5.0,14.0,Landing Page Submission,Google,0,0,0,India,Finance Management,Multiple Sources,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,Low_Engagement,Very_High_Page_Views
6.0,31.0,Landing Page Submission,Direct Traffic,0,0,0,India,Supply Chain Management,,Unemployed,Better Career Prospects,Ringing,Thane & Outskirts,1,0,Other_Source,1,Very_High_Visits,Medium_Engagement,Very_High_Page_Views
2.0,742.5,API,Google,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
9.0,144.0,Landing Page Submission,Direct Traffic,0,0,1,India,Media and Advertising,Student of SomeSchool,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Medium_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Business Administration,,Unemployed,Better Career Prospects,Lost to EINS,Other Cities of Maharashtra,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
2.0,165.5,API,Google,0,0,1,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
3.0,336.3333333333333,Landing Page Submission,Direct Traffic,0,0,1,India,Marketing Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
3.0,427.6666666666667,API,Google,0,0,1,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Medium_Visits,Very_High_Engagement,High_Page_Views
5.0,86.4,Landing Page Submission,Google,0,0,0,India,Media and Advertising,Other,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,Very_High_Page_Views
5.0,85.2,Landing Page Submission,Direct Traffic,0,0,1,India,Marketing Management,,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,High_Visits,High_Engagement,Very_High_Page_Views
3.0,276.3333333333333,API,Google,0,0,1,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Medium_Visits,High_Engagement,Low_Page_Views
5.0,222.6,Landing Page Submission,Google,0,0,1,India,International Business,Other,Unemployed,Better Career Prospects,Closed by Horizzon,Other Cities of Maharashtra,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Very_High_Page_Views
2.0,726.5,API,Google,0,0,1,India,Finance Management,,Working Professional,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
0.0,0.0,Lead Add Form,Reference,0,0,1,Unknown_Country,Finance Management,,Working Professional,Better Career Prospects,Closed by Horizzon,Other Cities,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
7.0,38.42857142857143,Landing Page Submission,Google,0,0,0,India,Other_Specialization,Word Of Mouth,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,Very_High_Visits,Medium_Engagement,High_Page_Views
9.5,82.94736842105263,API,Olark Chat,0,0,1,India,Healthcare Management,,Not_Specified,Not_Specified,,Other Cities,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Low_Page_Views
2.0,141.0,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,861.5,Lead Add Form,Reference,0,0,1,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Closed by Horizzon,Unknown_City,0,0,Other_Source,0,Low_Visits,Very_High_Engagement,Low_Page_Views
1.0,296.0,Landing Page Submission,Direct Traffic,0,0,0,India,Other_Specialization,,Not_Specified,Not_Specified,,Other Cities,1,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
4.0,464.75,API,Google,0,0,1,India,IT Projects Management,Online Search,Working Professional,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Low_Page_Views
6.0,208.66666666666666,Landing Page Submission,Google,0,0,1,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
4.0,13.5,Landing Page Submission,Direct Traffic,0,0,0,India,Human Resource Management,,Not_Specified,Not_Specified,,Other Metro Cities,1,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
3.0,28.333333333333332,Landing Page Submission,Google,0,0,1,India,Finance Management,Student of SomeSchool,Not_Specified,Not_Specified,Lost to EINS,Mumbai,0,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
9.5,146.8421052631579,Landing Page Submission,Direct Traffic,0,0,0,India,Operations Management,,Not_Specified,Not_Specified,,Mumbai,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Very_High_Page_Views
4.0,444.25,Landing Page Submission,Google,0,0,0,India,Human Resource Management,Multiple Sources,Not_Specified,Not_Specified,,Thane & Outskirts,0,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
2.0,129.0,API,Google,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
4.0,286.0,API,Google,0,0,1,India,Supply Chain Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,1,High_Visits,Very_High_Engagement,Low_Page_Views
4.0,16.25,Landing Page Submission,Google,0,0,0,India,Finance Management,Online Search,Not_Specified,Not_Specified,,Thane & Outskirts,0,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
3.0,87.0,Landing Page Submission,Organic Search,0,0,0,India,Supply Chain Management,,Not_Specified,Not_Specified,,Other Cities of Maharashtra,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
5.0,22.4,Landing Page Submission,Organic Search,0,0,1,India,Healthcare Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Metro Cities,1,0,Other_Source,1,High_Visits,Low_Engagement,Very_High_Page_Views
3.0,326.6666666666667,Landing Page Submission,Organic Search,0,0,1,India,Travel and Tourism,,Student,Better Career Prospects,Will revert after reading the email,Other Cities,1,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
5.0,179.8,Landing Page Submission,Direct Traffic,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities,1,0,Other_Source,1,High_Visits,High_Engagement,Low_Page_Views
9.5,49.473684210526315,Landing Page Submission,Direct Traffic,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Very_High_Visits,High_Engagement,High_Page_Views
5.0,118.0,Landing Page Submission,Google,0,0,1,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,High_Visits,High_Engagement,Very_High_Page_Views
4.0,81.0,Landing Page Submission,Google,0,0,0,India,Marketing Management,Multiple Sources,Student,Better Career Prospects,Interested in other courses,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,High_Page_Views
